Series Number,Filename,Description,Gender,UUID,Hash,SHA-256
11,gbeminyi-the-monk,He lives in a monastery off the coast. No one has heard him speak in years.,male,c8b1fd1d-8551-4bb4-8dc4-923a9aeb39fb,B819ACA9F1872B50B29ACA04A55EE45CA8CE7A65744A4C641106BA73A209C1B8,b'gAAAAABjY5zKJwvab6_V32yUfr82Z885yibnG5R2HND3q67OymJJAKivaIWa22Q_AofF0yGJO9hr5DLfIZ52ZMQu-YUkZ6h8-P1BMbW-ms946j_YUEYofM-v7lWlWAkORTUqvBWf8Gg2bJwygGyD3GCrpx2WTXw2W8O541Ftjm3l_AxA9ZGRPoLGeBk6kkESaKyYSXss0-StNiI0Augl7W2PMThS4gUaOn-lokpM7AqAWxy-urv_rjTRXYVpa6M3vxKamfutXnG_fPGQqkOLW1ji3H5ka0Lc90ymwVutUJafPnKVlStVFxPbXMjwOJBzt6wAMkgtX2W9u5J_bWqWjBNEDs-NYFoZj2qva9wljsfkFfUH7C5AJUxLkPqzVF6tC91xb5pccLw4fZ8B6iNXSZ1L0_h-VU4l0o_v4_qd051-0KbvjazhHdaybDLbV2z7VFIoymu2i3clafvcZQEuElWBTQuZZtMGZp8nMu3nGnvsL1B5j1HGp4JP6JQUL1b3UYC9Lg3myNqTWVt2v9QRGv1rwyccEFHe8h-VSiIah-7YmGNyFU1f_Ns9ZpCQVHdJb1YTaTxcj47T'
12,henry-the-sportsman,He's played every sport known to man. Even cricket.,male,e1225451-bfdf-4a1f-8d37-9cce3a0bd67b,25149DC0C48FE50E18291449491DC02428E9EBF86E018B00547469B6B2B747A4,b'gAAAAABjY5zK1BWf77ZMwuUDnHYL4bk48DMXyAfrPGVjEs8xuIW-dS9Z85Zc3iUzCezM03TpgJrJyhkcYyBe1L3jBHbqrodCjoj3DyfDtCCjugE6dANLLRJJFhpnKVYeE-OWQxZDOIMxint03Ew29s6FPPMxEiwVOO5vMg18LXJNPiaz3foUNwE91DdPkuMu99_Yh00i7_LsoAcs5-rhm2swupQHNQZCb0bdwlGJctsXK5QolF7vFJDb8HUuDPBXiU2GULLVBlKMpQWgZN_6FOHuE3TcN0di5ur3SzdQmiQaU-8tlQi96W2JJ0Yqv1uclXe8oKFfQ2bD-MIWnFlrm--bxQHOfagRJrTMHe0-b_uRqOWNgngO7zqv-QUQGuuDAtOh4ms8C-19rmuOUmLjFUXKww6aSw4aI3HpoK1XvuvTruaCLteqOSA-xxOLpd5it92PQKt3i7QEhy6WaONMESgaYoGnqPqezv7R-2FNh4jlMJ8b08ZSY254cFBm6nnHPcrlyiq7SUcwAdFHMUWUN8DlInQSInD3LA=='
13,mayowa-the-smallie,Mayowa is so small but everyone loves him even still.,male,dfbb4163-df24-4d54-b74c-6218a68df8bd,219E3A694AE8B482E274373E106021EBA20953CEE7EE4A1D770BA10918CC2654,b'gAAAAABjY5zKrIkc-LplNjzqR4Yu6fkP4rBfSeLYq1yZ1pt2jPgNyugRLG8h7eRS4HbdKRMpvsvNAFgA32eWUmdPvpPX63_adiCwS7nG1BduGnrbmiNcR3iJDjpz2XzPpHR9uNCWadbYpsNPifgxjU6WUjJvqjnJJ6fE7ve9f3c8hHbEt29CaPhKJDOZG_MHbplecpgE473jlkMUL1l1fya_a2F3Fu5khvH_DLon8Ggq7mir_yoU6UhzBanYmggWEZp3FKyrowOV_OSVKL9eOL1Qu5jOegx7E2bQS4m3my6I4N_F5K_WHyosxVZfxwqc0QGvA9vvInA2OGO24SFwFD2oXikJLudam9RegdKwtO2oFbDz-7E8gL_j6dC3iaoXYWkb3PS_YUQMc7BVOF82VV2yl8pasxQFut2E7yvGIuj1RQUlRk6FPC9QAitl1fXrtqkQTlIqkvVW5SnXuAhHJDWCzxg0nbvWc9MPU5KIriNYZ-sr2YbHcP5V6_glIkeilYf6sFCh2tn7vGpOHlmdniP8hfwAlbgy3Q=='
14,muyiwa-the-stylish,Muyiwa has a motto which is never to be caught unfresh.,male,dcf9d5a0-57b7-4126-a05e-6c8f1045d3f7,E06BC9AEA874F64C8641C523799C941F88E50BC1F6BB07762B4DC874F5E9EDE9,b'gAAAAABjY5zKVCp2jd7dkYamEQjPGtumXwa1kebL0gEN-1R2_Ptm9qtSGeXbvM7FWZQZcYBBoTN5Fod__V8Cn3FQdkxOxi4Vs0u_iTUKw93Q6aW8Wtz2e3w6uEo9ZTn7HQr_9FEizZ-X89v6aJKH7XCWlxE-iBjGQaJz05kvvXqMuc1VY3c9YEEdZqrwG4gYKKC4ML0flBgiSGieWVKBhrIsK3xtK1Bz9kGD2DLWlTDWW8l4SjWOHl1TvjNFg5dtFE6duiAjRXacuiPqoGZd93nnOueJyw5V7Ei9zRkwF8Db1eJ7IRITpYzQsg1pBKx1Ly85xjniXrgi9WCb52WPtxvULtiWb0Hc_XT4BKXXazyaJH3mR7kON29BsVtaK42-gTaGOvn_Goi-M2bNDHxRWNw8FPXwlBMSY3RqSUqejRU40vgPNGiCr5z0ukDVUIVhm1Zr0uRbSbHbEa0hnXWeKsBW07XdiCa0fgPVrj6GnYFQWczgkMQkbL6f77RhU5ZUmJMf2Mk8mr3U0SUlKtCcw4xUqbqehOj0jw=='
15,nina-paper-chaser,Nina na Igbo girl wey like money. Finish.,female,59524227-dc52-407c-8cca-e9e8c5fb3018,ABB924A69C9C5FC50F87EE8A164528273B0D118562F3E598570A48EF03013D42,b'gAAAAABjY5zK1isQoeMXTF3wh_BUv3mHwwnRDmW9LXzWAy7HA2oFwmeiumTyKlVP_ekSFX0Bwvb9IpUw_eP9TqimZlDj-cWejT4dJ9fAM-anKtgdjtmVsT-vvoQOHq3PSjTtNFXriegzRRmZbiDuNqXyvP0l9nIfb-WIt4lO2WXAGtvJvlQR_aAfwPbIZklBBxo26TR9_8cRwmQ1UH_rwsjagpBlX2CZf3Sion7xtlVD3STj9n9--5mCUsnY_xZmj966TiAAeDqQejIl8j9sm82NbuPC-A0ZO9ctiWWY09IMBodosPoQNtxawTL9iw06ZhtCReVuQBCYLFQVY_vXe5COOzg2rboHRKvUOI6i2TAse0-MeD9rDJqnLFmxMwAakh1Fbg1T0kiMIxh_Viq0iywTQQLdlalr6G2HnW-1Of6o2ujGbseA_zMFdZFwilx6AH5KHlPJGQF5mx5Z8FQxuSPsA9tKd8wlriTFtPwOfjBTXeNgJ-98uspGN_Ns1-eDuwTFBnGntYZYq4MtEK1ysGGlGMc0lZ6mwg=='
16,oluwaseun-spicy,He loves spicy foods. He cooks pepper and sprinkles rice on top.,male,808f7007-6552-4efa-bd13-4b7c337b102b,C74D54554BF05F317597444B4532A543853B6E52304D5916DE666158101842FF,b'gAAAAABjY5zK2fVzqzvKIb4etzeEP02e3W1HvY4cvjbHrGsixd6xO6UGgXo5zUS8gIgHmgxQ3Zqv0jKPQJzBwXgmuEy9HZGDZFgqzaFG9DP_kAc7nHZXZ5kGaqFh4Tgyn3PDvw1REE2G6nhVQTCxQ2Do4XsB5C19Ybs1mlMKdQt0PID-NMD8Iulq7AfFdYxa_dHTuv21TR3tD3i6drkI24_8sIJB1hZLSZNNPSYF97MicbVuMOmHS0X__7nj9T437ciSOENsMyzOqGwJ6LOHTww-9eNa9bUJqUC-Ick33tnaP5_o3rrx2Lg5HofCN4vQpbMDaPZBxx-YkZjjFZaHHF7V_87kqWNSjuRr7sh9xkBJ6PRvxcvSNHwbeHwsJSJzRTV4PTlAHRuGcA3jMqa97VAyfXAEIepGjWUowYjeZSR68oEb3e8uvENYgY-TtliXY_h2mH3FskheO99kmLWcpLgQ2Jbt5aCCcYScRNHJdn5bul6N87FfbO4V8fPt5pCwJuQDXaVu0gk14fLUo46K0s5GVsixMF9qh_kET0Qnsb0VjwTABWKbOSg='
17,sesan-the-smartie,Sesan always comes first in competitions.,male,ba3edda7-8940-4ca4-97ba-826398d5909f,3B476F74BBC12CED2CDE94C64BC496F1281EDEE22C7AA20F91486C7331889F65,b'gAAAAABjY5zKBqHpw4KNo3wZgm0SIdWoVuys1TDyB46ebsnUJTBalYP0Aa9kK-upSI8wR3n-S_UQ5xbSA05QRt8UpDpY4n8_mhHjTTkp4213vfbdABBPuDDqiezVbx4-z4zqW-aDNYPrh80ctaDOqUeWBNnKLpBvXQmA-S-mkghycaP85lXKMUjefchc2WyMi2aPMgEVRd5VnuXLSMH9m-MdONyPa_AXCHEWGuX_1GqV4nnwTgzX2SrwigpfS9K5qhEUnp2GiQjAwwuItd-epAbQPakD_FpOplNVHfq8nq3vHtGG8GMc-pZYT863qYp8htYzMAhHwkxKXxJBsvlrPlSx-Ig--BHdW2uymDt9beTu8tiiH0gAS-pf3jn2fcLqmVggnuQXJVZckWy5FALtlK_UuCSeMzibKy10Gv41xF2EGzUxU47F5TGElXH23_aLep8ttvy5kcxbw6T_y8IXixvie_JSgRqDJiQXfU-_Y0-Wjb1ppDKhfISzwZeY9OrlgstEgrUY4hfR'
18,tiwa-london,"If she says she's in London and you see her, you're in London too.",female,78da7aeb-8352-4e25-89ac-dc48b5984089,B9CAD7B34CB93D492D25BF876961EE567174A6F70956D59774329390F649ECFB,b'gAAAAABjY5zKkPFy6GiAuruvoG990QDJ-Lf5AcMLGu0ssvA0PJBPE_vUyOqUd3j7bVl4OcDvxGLipBzvyYop8Zgm9CaGfNGR0X6JluFLoBFAvfNBTVy68vv8OhH1MwHd95VLBV-MlVsaMJEACfRR8hluYUpiBj2AONk1tQuPgYVa76IbRGXKUPiIBj2aApozNuOmf16F9zzW_ESu8RGMxL4z4iuTAFw9FH2KUmZX6H6Jq9wk5HtxUO8o87Bnq9WPGrR14iybC2Mm-G8SqBVopCgjAJOz3Kpv5QQL6WMoT44Oa8prqAJrs3cyfujB1GdaMEa2270foswv7nbIcHYfEONZxFZJSvIqQ4Hwswk8fqyoMWe2AzqWpi0HM3wtDXdfMP_pH0eBxOCjKQJcis5cVu-qOx-8km8iIBQDIp2y-3Ns-YZCmuFRsCXeNT-bMkUeiDns29VeaALKQS8bGnmvmeIYfp7keC4HnBJpZtOxIW_zdxun13SR1Jo3kpIlsfVMj4tcVhUA9On07H91CS3ge_vO3cBhV-JN-j7uG5UczyMlPcXy5zAabWo='
19,tunde-yoruba-demon,"Tunde derives joy in breaking girls heart. It's a lifestyle.""",male,53b46bd7-a537-402b-b249-0b4074a8faae,854D09E68EB01D88A203C46303B0D3A301F632EE256EAF4406F4C560F30EF3F2,b'gAAAAABjY5zKlXFSgT4M2Vu4ya4e63ytx-c0IyeTu1W4_SOR3c2fFbW_6cLWg_OoLwC8EsMaMbHMJOeAfRBl3kSMIJrXN0WXycwpeplgwqWaHpTBHQ_rfZM9MbABVEjaGJaDuUFhqjoxHoCqkI5EJOS4hXfDXz-ROkOO5nA1iIjucO00WzFI55nsAge8MHZcGT7DqEkuGzCFlNxbgzEqUREfd5efDSwzvWxbgTsKpWp1jZboPE2X8bzhF5d3klXaiCK-nvEO7e5DrLiFEYTvAqBZtlcgFEyICI2xsVOD_ZaYWG7qkiz2m6ookh7ESL6tnbGiNXjs4gGtrgwqIXc2R0XopGSRAU1y7zsLC1mRka_NehGVlQRTup5gMmxSupyfgrIOe3AXbCSMr22-DQMXhinkppI5h46gldK13fNXdLc0S6Ct8JWD3HEzNgxDa38akZS_kx7fywT5PDnPI-UqnsrFwJe4XyTf6n6JADgCGzqZ7Fvf11e0roqQmrodSY8eOs3f8zrxPJOXBKjC2SwQuTK4a8EnLpEoRxMmD6vS-_ZlkgIA0y8N5Js='
20,yakubu-the-zombie,Yakubu earned his zombie title because na only dust full him head.,male,4adb6781-1614-424e-8f77-fe59ffca2209,4727313C67B7FDD62415E4309A4118677C24DDA85F47D0D067F674D5B84367A5,b'gAAAAABjY5zK_L98-aFcRy1KUwZ5GFMXoAxAceyz3V9W_zngzXlvAKUjIeFFoLvQNFPVlPIWf7Q6ezxdIJ9zK7auIOXXlNCUEnh6Prn11HoVE8RNqzT_oL3Fgsu_4tiE2ySnoVpLWT1FQKy6oaenh2G5K5LwspxZq33WF4sjW-NzOPsfd6d2Zy9aggwWbqBT0nEOPOKOb5qh6W_PvU2Ddb_ad0VfIm7RMVxC5UJOKDlq7DVv01Zzs4ULy7DSeFZt-xuJxMXg08xKn1Tu7kGNcBGPdv0b82PjfhKHPZWAZ0IJ0qBrXfbxsjCYTJoLBw7isI1EKHQ6Dp1zxBi9ub9K7eVV6x1S0KmHo7rPJWvEBz0pMbokfi319rrD2XJWMzeFoviR2y3J7bBs60t1XN5kGIZD8zbKmg-7RZAzknJu7a01cVibuoX4dBDSpHRaGAVgbs3V7gtHPUPcEcy8AC4ynKU_o_jj-QFKbydjRoXkt1u6RRDBtU_Rwm7RiSIxID-rNDheGyXolW7CTYznLEActgN2qsAxmkSj_2cjDWoYnTXiFa68i6onBaQ='
